Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.009038147,0,0.012636096,0,1.416666667,1.416666667
0.007871828,0,0.033832656,0,0.416666667,0.416666667
0.005536545,0,0,0,0,0
0.006920789,0,0,0,0,0
0.005355677,0,0,0,0,0
0.010051014,0.006616166,0.008393317,0,0.583333333,0.583333333
0.022209162,0.00111505,0.009416921,0,0.416666667,0.416666667
0.025559822,0.001693583,0.011905684,0,0,0
0.028704355,0,0.013579508,1.63E-06,1.75,1.75
0.034280692,0,0.016059795,5.43E-05,3,3
0.03812805,0,0.018724618,0.000333072,3,3
0.047539522,0,0.021071078,0.000778147,3,3
0.052256322,0,0.02766029,0.001259252,3.583333333,3.583333333
0.049111789,0,0.033856003,0.001487985,2.833333333,2.833333333
0.045967255,0,0.034830677,0.001456846,1.416666667,1.416666667
0.042822722,0,0.03138301,0.001305879,2.166666667,2.166666667
0.042822722,0,0.028093093,0.001005739,3,3
0.047995979,0,0.026710202,9.96E-05,3,3
0.049887016,0,0.02928262,0,3,3
0.046742483,0,0.03207812,0,2.416666667,2.416666667
0.04359795,0,0.031055721,0,2.583333333,2.583333333
0.040453417,0,0.029836782,0,2.416666667,2.416666667
0.037308883,0,0.025008881,0,2,2
0.020048301,0,0.019688638,0,2,2
0.009038147,0,0.012858683,0,2.583333333,2.583333333
0.008260601,0,0.036761118,0,3.583333333,3.583333333
0.005536545,0,0,0,4,4
0.006920789,0,0,0,3.416666667,3.416666667
0.005355677,0,0,0,3,3
0.010051014,0.006340341,0.003983164,0,2.416666667,2.416666667
0.021092652,0.002978502,0.008351861,0,1.416666667,1.416666667
0.024429383,0.00388764,0.011006982,0,0.416666667,0.416666667
0.027926809,0,0.012235581,0,0.583333333,0.583333333
0.03423722,0,0.015018451,5.02E-05,2.166666667,2.166666667
0.03812805,0,0.018310987,0.000365516,3,3
0.047022809,0,0.021002374,0.000866673,3.583333333,3.583333333
0.051739609,0,0.027954038,0.001271479,4,4
0.048595075,0,0.029325838,0.001436793,3.416666667,3.416666667
0.045450542,0,0.030494385,0.00146728,3.583333333,3.583333333
0.042306009,0,0.027543071,0.001380221,4,4
0.042306009,0,0.027740268,0.001083831,4,4
0.047486511,0,0.02748836,0.000395024,3.416666667,3.416666667
0.049887016,0,0.026388504,0,3,3
0.046742483,0,0.030425365,0,2.416666667,2.416666667
0.04359795,0,0.032484705,0,2,2
0.040453417,0,0.028345668,0,2.583333333,2.583333333
0.037308883,0,0.027046859,0,3,3
0.020048301,0,0.021101189,0,1.833333333,1.833333333
0.009038147,0,0.015205568,0,2.166666667,2.166666667
0.008260601,0,0.03586443,0,1.833333333,1.833333333
0.005536545,0,0,0,1,1
0.006920789,0,0,0,1,1
0.005355677,0,0,0,0.416666667,0.416666667
0.010051014,0.006697259,0.005207046,0,1.166666667,1.166666667
