Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly),,,,,,,,,
0.008098157,0.029009208,0,0,0,0,,,,971.78 ,0.008098157,3481.105 ,0.029009208,,0
0.00836386,0.029685667,0,0,1.166666667,1.166666667,,,,1003.66 ,0.00836386,3562.280 ,0.029685667,,0
0.008553131,0.029976933,0,0,1.416666667,1.416666667,,,,1026.38 ,0.008553131,3597.232 ,0.029976933,,0
0.00952968,0.032825325,0,0,1.583333333,1.583333333,,,,1143.56 ,0.00952968,3939.039 ,0.032825325,,0
0.009026589,0.031420795,0,0,2.583333333,2.583333333,,,,1083.19 ,0.009026589,3770.495 ,0.031420795,,0
0.007721662,0.027654093,0,0,2.416666667,2.416666667,,,,926.60 ,0.007721662,3318.491 ,0.027654093,,0
0.006453442,0.023620387,0,0,1.416666667,1.416666667,,,,774.41 ,0.006453442,2834.446 ,0.023620387,,0
0.005504148,0.020845937,0,0,2.166666667,2.166666667,,,,660.50 ,0.005504148,2501.512 ,0.020845937,,0
0.004655569,0.018340253,0,0,3,3,,,,558.67 ,0.004655569,2200.830 ,0.018340253,,0
0.004183917,0.016832288,0,0,2.416666667,2.416666667,,,,502.07 ,0.004183917,2019.875 ,0.016832288,,0
0.004127357,0.016399515,0,0,2.583333333,2.583333333,,,,495.28 ,0.004127357,1967.942 ,0.016399515,,0
0.004446162,0.017597733,0,0,3.583333333,3.583333333,,,,533.54 ,0.004446162,2111.728 ,0.017597733,,0
0.005740589,0.02146176,0,0,4,4,,,,688.87 ,0.005740589,2575.411 ,0.02146176,,0
0.00596902,0.022363043,0,0,3.416666667,3.416666667,,,,716.28 ,0.00596902,2683.565 ,0.022363043,,0
0.006335596,0.023308758,0,0,3,3,,,,760.27 ,0.006335596,2797.051 ,0.023308758,,0
0.006633712,0.023964153,0,0,3,3,,,,796.05 ,0.006633712,2875.698 ,0.023964153,,0
0.006055213,0.022028542,0,0,2.416666667,2.416666667,,,,726.63 ,0.006055213,2643.425 ,0.022028542,,0
0.006040642,0.022343283,0,0,2.583333333,2.583333333,,,,724.88 ,0.006040642,2681.194 ,0.022343283,,0
0.006057621,0.02257515,0,0,2.416666667,2.416666667,,,,726.91 ,0.006057621,2709.018 ,0.02257515,,0
0.006117393,0.022818575,0,0,1.416666667,1.416666667,,,,734.09 ,0.006117393,2738.229 ,0.022818575,,0
0.006212192,0.023218967,0,0,0.416666667,0.416666667,,,,745.46 ,0.006212192,2786.276 ,0.023218967,,0
0.006340472,0.023623292,0,0,0,0,,,,760.86 ,0.006340472,2834.795 ,0.023623292,,0
0.006565396,0.024323583,0,0,0.583333333,0.583333333,,,,787.85 ,0.006565396,2918.830 ,0.024323583,,0
0.006852487,0.025195267,0,0,0.416666667,0.416666667,,,,822.30 ,0.006852487,3023.432 ,0.025195267,,0
0.007105274,0.025960883,0,0,0,0,,,,852.63 ,0.007105274,3115.306 ,0.025960883,,0
0.007357227,0.026595125,0,0,0.583333333,0.583333333,,,,882.87 ,0.007357227,3191.415 ,0.026595125,,0
0.014083014,0.046954642,0,0,0.416666667,0.416666667,,,,1689.96 ,0.014083014,5634.557 ,0.046954642,,0
0.015013706,0.049662247,0,0,0.583333333,0.583333333,,,,1801.64 ,0.015013706,5959.470 ,0.049662247,,0
0.013399126,0.044845252,0,0,0.416666667,0.416666667,,,,1607.90 ,0.013399126,5381.430 ,0.044845252,,0
0.011084429,0.037978378,0,0,1.166666667,1.166666667,,,,1330.13 ,0.011084429,4557.405 ,0.037978378,,0
0.009495601,0.032960348,0,0,2,2,,,,1139.47 ,0.009495601,3955.242 ,0.032960348,,0
0.009186735,0.032152123,0,0,0.833333333,0.833333333,,,,1102.41 ,0.009186735,3858.255 ,0.032152123,,0
0.008260086,0.029406755,0,0,0.583333333,0.583333333,,,,991.21 ,0.008260086,3528.811 ,0.029406755,,0
0.006100524,0.022716607,0,0,1,1,,,,732.06 ,0.006100524,2725.993 ,0.022716607,,0
0.005558306,0.020792778,0,0,1,1,,,,667.00 ,0.005558306,2495.133 ,0.020792778,,0
0.006608719,0.024237163,0,0,0.416666667,0.416666667,,,,793.05 ,0.006608719,2908.460 ,0.024237163,,0
0.009539563,0.033125278,0,0,0,0,,,,1144.75 ,0.009539563,3975.033 ,0.033125278,,0
0.009520205,0.033265803,0,0,0,0,,,,1142.42 ,0.009520205,3991.896 ,0.033265803,,0
0.008791083,0.030847532,0,0,0.583333333,0.583333333,,,,1054.93 ,0.008791083,3701.704 ,0.030847532,,0
0.009347352,0.032295505,0,0,1,1,,,,1121.68 ,0.009347352,3875.461 ,0.032295505,,0
0.009083159,0.031324867,0,0,1,1,,,,1089.98 ,0.009083159,3758.984 ,0.031324867,,0
0.006094939,0.022509983,0,0,1.583333333,1.583333333,,,,731.39 ,0.006094939,2701.198 ,0.022509983,,0
0.006215011,0.023058367,0,0,2,2,,,,745.80 ,0.006215011,2767.004 ,0.023058367,,0
0.006356562,0.023552867,0,0,3.166666667,3.166666667,,,,762.79 ,0.006356562,2826.344 ,0.023552867,,0
0.006469374,0.024008558,0,0,4,4,,,,776.32 ,0.006469374,2881.027 ,0.024008558,,0
0.006646882,0.024564025,0,0,4.583333333,4.583333333,,,,797.63 ,0.006646882,2947.683 ,0.024564025,,0
0.006884332,0.025302775,0,0,5,5,,,,826.12 ,0.006884332,3036.333 ,0.025302775,,0
0.007159214,0.026136975,0,0,5,5,,,,859.11 ,0.007159214,3136.437 ,0.026136975,,0
0.007363649,0.026754142,0,0,5,5,,,,883.64 ,0.007363649,3210.497 ,0.026754142,,0
0.00757225,0.027255283,0,0,4.416666667,4.416666667,,,,908.67 ,0.00757225,3270.634 ,0.027255283,,0
0.014491128,0.048207625,0,0,5.75,5.75,,,,1738.94 ,0.014491128,5784.915 ,0.048207625,,0
0.015374689,0.05077053,0,5.71E-05,5.833333333,5.833333333,,,,1844.96 ,0.015374689,6092.464 ,0.05077053,,0
0.013653361,0.045625797,0,0.000412632,5,5,,,,1638.40 ,0.013653361,5475.096 ,0.045625797,,0
0.012007528,0.040812452,0,0.000957155,5.583333333,5.583333333,,,,1440.90 ,0.012007528,4897.494 ,0.040812452,,0
0.009481627,0.032917447,0,0.001352669,5.416666667,5.416666667,,,,1137.80 ,0.009481627,3950.094 ,0.032917447,,0
0.007141966,0.025874323,0,0.001494669,4.416666667,4.416666667,,,,857.04 ,0.007141966,3104.919 ,0.025874323,,0
0.006595189,0.024295228,0,0.00147054,4,4,,,,791.42 ,0.006595189,2915.427 ,0.024295228,,0
0.004667031,0.018315532,0,0.0013737,4,4,,,,560.04 ,0.004667031,2197.864 ,0.018315532,,0
0.003720825,0.015151388,0,0.001071277,3.416666667,3.416666667,,,,446.50 ,0.003720825,1818.167 ,0.015151388,,0
0.005318002,0.020274433,0,0.000379373,3,3,,,,638.16 ,0.005318002,2432.932 ,0.020274433,,0
0.007539875,0.026985883,0,0,4.166666667,4.166666667,,,,904.78 ,0.007539875,3238.306 ,0.026985883,,0
0.008132212,0.029004423,0,0,3.833333333,3.833333333,,,,975.87 ,0.008132212,3480.531 ,0.029004423,,0
0.007588665,0.0271559,0,0,2.416666667,2.416666667,,,,910.64 ,0.007588665,3258.708 ,0.0271559,,0
0.008272853,0.028996603,0,0,2.583333333,2.583333333,,,,992.74 ,0.008272853,3479.592 ,0.028996603,,0
0.008168643,0.028517142,0,0,1.833333333,1.833333333,,,,980.24 ,0.008168643,3422.057 ,0.028517142,,0
0.005565436,0.020884317,0,0,1.583333333,1.583333333,,,,667.85 ,0.005565436,2506.118 ,0.020884317,,0
0.005756737,0.021651383,0,0,1.416666667,1.416666667,,,,690.81 ,0.005756737,2598.166 ,0.021651383,,0
0.005998902,0.022325225,0,0,0.416666667,0.416666667,,,,719.87 ,0.005998902,2679.027 ,0.022325225,,0
0.006128898,0.022943017,0,0,0,0,,,,735.47 ,0.006128898,2753.162 ,0.022943017,,0
0.006339251,0.023609808,0,0,0,0,,,,760.71 ,0.006339251,2833.177 ,0.023609808,,0
0.006614655,0.024474817,0,0,0,0,,,,793.76 ,0.006614655,2936.978 ,0.024474817,,0
0.006917769,0.025385958,0,0,0.583333333,0.583333333,,,,830.13 ,0.006917769,3046.315 ,0.025385958,,0
0.007164631,0.0261229,0,0,0.416666667,0.416666667,,,,859.76 ,0.007164631,3134.748 ,0.0261229,,0
0.007434259,0.026672108,0,0,0,0,,,,892.11 ,0.007434259,3200.653 ,0.026672108,,0
0.014267967,0.047073133,0,1.63E-06,1.75,1.75,,,,1712.16 ,0.014267967,5648.776 ,0.047073133,,0
0.015100578,0.04932983,0,5.43E-05,3,3,,,,1812.07 ,0.015100578,5919.580 ,0.04932983,,0
0.013661154,0.04519064,0,0.000333072,3,3,,,,1639.34 ,0.013661154,5422.877 ,0.04519064,,0
0.011455461,0.038898078,0,0.000778147,3,3,,,,1374.66 ,0.011455461,4667.769 ,0.038898078,,0
0.009790022,0.033504797,0,0.001259252,3.583333333,3.583333333,,,,1174.80 ,0.009790022,4020.576 ,0.033504797,,0
0.009703208,0.033518353,0,0.001487985,2.833333333,2.833333333,,,,1164.38 ,0.009703208,4022.202 ,0.033518353,,0
0.007264574,0.02623053,0,0.001456846,1.416666667,1.416666667,,,,871.75 ,0.007264574,3147.664 ,0.02623053,,0
0.004216217,0.016751713,0,0.001305879,2.166666667,2.166666667,,,,505.95 ,0.004216217,2010.206 ,0.016751713,,0
0.003348284,0.01356876,0,0.001005739,3,3,,,,401.79 ,0.003348284,1628.251 ,0.01356876,,0
0.004530669,0.017637753,0,9.96E-05,3,3,,,,543.68 ,0.004530669,2116.530 ,0.017637753,,0
0.008156871,0.02855065,0,0,3,3,,,,978.82 ,0.008156871,3426.078 ,0.02855065,,0
0.007799282,0.027852708,0,0,2.416666667,2.416666667,,,,935.91 ,0.007799282,3342.325 ,0.027852708,,0
0.007955811,0.027973802,0,0,2.583333333,2.583333333,,,,954.70 ,0.007955811,3356.856 ,0.027973802,,0
0.008803007,0.030055095,0,0,2.416666667,2.416666667,,,,1056.36 ,0.008803007,3606.611 ,0.030055095,,0
0.008798789,0.029723108,0,0,2,2,,,,1055.85 ,0.008798789,3566.773 ,0.029723108,,0
0.005980218,0.021788558,0,0,2,2,,,,717.63 ,0.005980218,2614.627 ,0.021788558,,0
0.006049157,0.022359692,0,0,2.583333333,2.583333333,,,,725.90 ,0.006049157,2683.163 ,0.022359692,,0
0.006195272,0.022839017,0,0,3.583333333,3.583333333,,,,743.43 ,0.006195272,2740.682 ,0.022839017,,0
0.006205296,0.023163667,0,0,4,4,,,,744.64 ,0.006205296,2779.640 ,0.023163667,,0
0.00636209,0.023673233,0,0,3.416666667,3.416666667,,,,763.45 ,0.00636209,2840.788 ,0.023673233,,0
0.006555969,0.024294642,0,0,3,3,,,,786.72 ,0.006555969,2915.357 ,0.024294642,,0
0.006799935,0.025017492,0,0,2.416666667,2.416666667,,,,815.99 ,0.006799935,3002.099 ,0.025017492,,0
0.007040881,0.025729058,0,0,1.416666667,1.416666667,,,,844.91 ,0.007040881,3087.487 ,0.025729058,,0
0.007327085,0.026233367,0,0,0.416666667,0.416666667,,,,879.25 ,0.007327085,3148.004 ,0.026233367,,0
0.007664907,0.026491567,0,0,0.583333333,0.583333333,,,,919.79 ,0.007664907,3178.988 ,0.026491567,,0
0.008726648,0.029348727,0,5.02E-05,2.166666667,2.166666667,,,,1047.20 ,0.008726648,3521.847 ,0.029348727,,0
0.007884506,0.027139607,0,0.000365516,3,3,,,,946.14 ,0.007884506,3256.753 ,0.027139607,,0
0.006272892,0.02283578,0,0.000866673,3.583333333,3.583333333,,,,752.75 ,0.006272892,2740.294 ,0.02283578,,0
0.005230848,0.019260118,0,0.001271479,4,4,,,,627.70 ,0.005230848,2311.214 ,0.019260118,,0
0.004083547,0.016114107,0,0.001436793,3.416666667,3.416666667,,,,490.03 ,0.004083547,1933.693 ,0.016114107,,0
0.004273341,0.016964517,0,0.00146728,3.583333333,3.583333333,,,,512.80 ,0.004273341,2035.742 ,0.016964517,,0
0.002776293,0.01220729,0,0.001380221,4,4,,,,333.16 ,0.002776293,1464.875 ,0.01220729,,0
0.001327335,0.007062288,0,0.001083831,4,4,,,,159.28 ,0.001327335,847.475 ,0.007062288,,0
0.002421825,0.011012328,0,0.000395024,3.416666667,3.416666667,,,,290.62 ,0.002421825,1321.479 ,0.011012328,,0
0.005008456,0.018657852,0,0,3,3,,,,601.01 ,0.005008456,2238.942 ,0.018657852,,0
0.004195901,0.016700595,0,0,2.416666667,2.416666667,,,,503.51 ,0.004195901,2004.071 ,0.016700595,,0
0.005423534,0.019986562,0,0,2,2,,,,650.82 ,0.005423534,2398.387 ,0.019986562,,0
0.006062742,0.021250582,0,0,2.583333333,2.583333333,,,,727.53 ,0.006062742,2550.070 ,0.021250582,,0
0.005914793,0.020367617,0,0,3,3,,,,709.78 ,0.005914793,2444.114 ,0.020367617,,0
0.005910341,0.021320117,0,0,1.833333333,1.833333333,,,,709.24 ,0.005910341,2558.414 ,0.021320117,,0
0.006018826,0.022136267,0,0,2.166666667,2.166666667,,,,722.26 ,0.006018826,2656.352 ,0.022136267,,0
0.006165701,0.022852858,0,0,1.833333333,1.833333333,,,,739.88 ,0.006165701,2742.343 ,0.022852858,,0
0.006323789,0.023543792,0,0,1,1,,,,758.85 ,0.006323789,2825.255 ,0.023543792,,0
0.006507624,0.024127908,0,0,1,1,,,,780.91 ,0.006507624,2895.349 ,0.024127908,,0
0.006690193,0.024706733,0,0,0.416666667,0.416666667,,,,802.82 ,0.006690193,2964.808 ,0.024706733,,0
0.006873661,0.025251708,0,0,1.166666667,1.166666667,,,,824.84 ,0.006873661,3030.205 ,0.025251708,,0
0.007014893,0.0256656,0,0,0.833333333,0.833333333,,,,841.79 ,0.007014893,3079.872 ,0.0256656,,0
0.00721766,0.026026233,0,0,0.583333333,0.583333333,,,,866.12 ,0.00721766,3123.148 ,0.026026233,,0
0.007460181,0.0262259,0,0,1.583333333,1.583333333,,,,895.22 ,0.007460181,3147.108 ,0.0262259,,0
0.008437108,0.028943628,0,5.22E-05,0.833333333,0.833333333,,,,1012.45 ,0.008437108,3473.235 ,0.028943628,,0
0.007540073,0.026452878,0,0.000356712,1.166666667,1.166666667,,,,904.81 ,0.007540073,3174.345 ,0.026452878,,0
0.006512098,0.023747392,0,0.000574848,2,2,,,,781.45 ,0.006512098,2849.687 ,0.023747392,,0
0.005792957,0.021276198,0,0.00016727,2,2,,,,695.15 ,0.005792957,2553.144 ,0.021276198,,0
0.004230944,0.016743848,0,0.000636799,1.416666667,1.416666667,,,,507.71 ,0.004230944,2009.262 ,0.016743848,,0
0.003144317,0.013594985,0,0.000766246,0.416666667,0.416666667,,,,377.32 ,0.003144317,1631.398 ,0.013594985,,0
0.002339965,0.011012838,0,0.000280413,0.583333333,0.583333333,,,,280.80 ,0.002339965,1321.541 ,0.011012838,,0
0.002496986,0.011007735,0,0.00097248,1,1,,,,299.64 ,0.002496986,1320.928 ,0.011007735,,0
0.004181048,0.016590658,0,0.00040285,0.416666667,0.416666667,,,,501.73 ,0.004181048,1990.879 ,0.016590658,,0
0.004395654,0.017042555,0,0,0.583333333,0.583333333,,,,527.48 ,0.004395654,2045.107 ,0.017042555,,0
0.005124142,0.01965509,0,0,1,1,,,,614.90 ,0.005124142,2358.611 ,0.01965509,,0
0.005617367,0.020831445,0,0,1,1,,,,674.08 ,0.005617367,2499.773 ,0.020831445,,0
0.005965781,0.021412542,0,0,0.416666667,0.416666667,,,,715.89 ,0.005965781,2569.505 ,0.021412542,,0
0.005404949,0.019390775,0,0,0,0,,,,648.59 ,0.005404949,2326.893 ,0.019390775,,0
0.005413261,0.020092158,0,0,0,0,,,,649.59 ,0.005413261,2411.059 ,0.020092158,,0
0.005718051,0.02136585,0,0,0,0,,,,686.17 ,0.005718051,2563.902 ,0.02136585,,0
0.006106974,0.022766558,0,0,0,0,,,,732.84 ,0.006106974,2731.987 ,0.022766558,,0
0.006466801,0.023997533,0,0,0,0,,,,776.02 ,0.006466801,2879.704 ,0.023997533,,0
0.006589968,0.024387783,0,0,0.583333333,0.583333333,,,,790.80 ,0.006589968,2926.534 ,0.024387783,,0
0.006691735,0.024711467,0,0,0.416666667,0.416666667,,,,803.01 ,0.006691735,2965.376 ,0.024711467,,0
0.006952797,0.025501733,0,0,0,0,,,,834.34 ,0.006952797,3060.208 ,0.025501733,,0
0.007240937,0.026374267,0,0,0,0,,,,868.91 ,0.007240937,3164.912 ,0.026374267,,0
0.007554579,0.027176375,0,0,0,0,,,,906.55 ,0.007554579,3261.165 ,0.027176375,,0
0.014482157,0.048110625,0,0,0,0,,,,1737.86 ,0.014482157,5773.275 ,0.048110625,,0
0.015240632,0.050266342,0,1.89E-05,0,0,,,,1828.88 ,0.015240632,6031.961 ,0.050266342,,0
0.01473825,0.048885633,0,0.000139881,0,0,,,,1768.59 ,0.01473825,5866.276 ,0.048885633,,0
0.013262547,0.044631663,0,0.000333236,0.583333333,0.583333333,,,,1591.51 ,0.013262547,5355.800 ,0.044631663,,0
0.011524735,0.03913458,0,0.000375135,1,1,,,,1382.97 ,0.011524735,4696.150 ,0.03913458,,0
0.011868267,0.04035098,0,0.000132544,1.583333333,1.583333333,,,,1424.19 ,0.011868267,4842.118 ,0.04035098,,0
0.01033492,0.035758335,0,0.000657993,1.416666667,1.416666667,,,,1240.19 ,0.01033492,4291.000 ,0.035758335,,0
0.010716756,0.036861465,0,0.001252079,0.416666667,0.416666667,,,,1286.01 ,0.010716756,4423.376 ,0.036861465,,0
0.009789149,0.033714372,0,0.000842382,1.166666667,1.166666667,,,,1174.70 ,0.009789149,4045.725 ,0.033714372,,0
0.010604755,0.036471777,0,0.000382471,1.416666667,1.416666667,,,,1272.57 ,0.010604755,4376.613 ,0.036471777,,0
0.01111067,0.037897917,0,2.29E-05,1,1,,,,1333.28 ,0.01111067,4547.750 ,0.037897917,,0
0.011370845,0.038927568,0,0,1,1,,,,1364.50 ,0.011370845,4671.308 ,0.038927568,,0
0.009588994,0.03324945,0,0,1,1,,,,1150.68 ,0.009588994,3989.934 ,0.03324945,,0
0.00990073,0.033906492,0,0,0.416666667,0.416666667,,,,1188.09 ,0.00990073,4068.779 ,0.033906492,,0
0.009418698,0.032242392,0,0,0,0,,,,1130.24 ,0.009418698,3869.087 ,0.032242392,,0
0.006280421,0.023022375,0,0,0,0,,,,753.65 ,0.006280421,2762.685 ,0.023022375,,0
0.006387465,0.023558542,0,0,0,0,,,,766.50 ,0.006387465,2827.025 ,0.023558542,,0
0.006567823,0.024158558,0,0,0,0,,,,788.14 ,0.006567823,2899.027 ,0.024158558,,0
0.006715268,0.0247568,0,0,0,0,,,,805.83 ,0.006715268,2970.816 ,0.0247568,,0
0.006900679,0.02534,0,0,0,0,,,,828.08 ,0.006900679,3040.800 ,0.02534,,0
0.007082836,0.025912217,0,0,0,0,,,,849.94 ,0.007082836,3109.466 ,0.025912217,,0
0.007237418,0.02637385,0,0,0,0,,,,868.49 ,0.007237418,3164.862 ,0.02637385,,0
0.007380477,0.026799108,0,0,0,0,,,,885.66 ,0.007380477,3215.893 ,0.026799108,,0
0.00753864,0.027099258,0,0,0,0,,,,904.64 ,0.00753864,3251.911 ,0.027099258,,0
0.014358938,0.047652942,0,0,0,0,,,,1723.07 ,0.014358938,5718.353 ,0.047652942,,0
0.015234088,0.05014041,0,0,0,0,,,,1828.09 ,0.015234088,6016.849 ,0.05014041,,0
0.013658163,0.045488477,0,2.18E-05,0,0,,,,1638.98 ,0.013658163,5458.617 ,0.045488477,,0
0.011036454,0.037758402,0,0.000189605,0,0,,,,1324.37 ,0.011036454,4531.008 ,0.037758402,,0
0.010350734,0.035466688,0,0.000549578,0.583333333,0.583333333,,,,1242.09 ,0.010350734,4256.003 ,0.035466688,,0
0.010726523,0.036806862,0,0.00078744,1.583333333,1.583333333,,,,1287.18 ,0.010726523,4416.823 ,0.036806862,,0
0.008863127,0.031218507,0,0.001022042,2.583333333,2.583333333,,,,1063.58 ,0.008863127,3746.221 ,0.031218507,,0
0.006626801,0.024272833,0,0.001223711,2.416666667,2.416666667,,,,795.22 ,0.006626801,2912.740 ,0.024272833,,0
0.009406806,0.032462983,0,0.00108758,2,2,,,,1128.82 ,0.009406806,3895.558 ,0.032462983,,0
0.007815706,0.027870142,0,0.000419805,2,2,,,,937.88 ,0.007815706,3344.417 ,0.027870142,,0
0.009580686,0.033142385,0,2.36E-05,0.833333333,0.833333333,,,,1149.68 ,0.009580686,3977.086 ,0.033142385,,0
0.010387322,0.03588509,0,0,0,0,,,,1246.48 ,0.010387322,4306.211 ,0.03588509,,0
0.009034447,0.031492253,0,0,0,0,,,,1084.13 ,0.009034447,3779.070 ,0.031492253,,0
0.009578478,0.032816573,0,0,0,0,,,,1149.42 ,0.009578478,3937.989 ,0.032816573,,0
0.009251851,0.031601417,0,0,0,0,,,,1110.22 ,0.009251851,3792.170 ,0.031601417,,0
0.00621711,0.022762775,0,0,0,0,,,,746.05 ,0.00621711,2731.533 ,0.022762775,,0
0.006308245,0.02328185,0,0,0,0,,,,756.99 ,0.006308245,2793.822 ,0.02328185,,0
0.006420989,0.023713475,0,0,0,0,,,,770.52 ,0.006420989,2845.617 ,0.023713475,,0
0.006470081,0.024004925,0,0,0,0,,,,776.41 ,0.006470081,2880.591 ,0.024004925,,0
